FDID,INC_TYPE,DISTRICT,PROP_LOSS,CONT_LOSS,PROP_VAL,CONT_VAL,PROP_USE,RESPONSE_TIME,FIRE_CLEARANCE_TIME,MONTH,HOUR
1008,143,24,0.0,0.0,0.0,0.0,960,5.0,3.0,7,4
1008,151,24,0.0,0.0,0.0,0.0,960,10.0,2.0,7,4
1008,412,6,0.0,0.0,0.0,0.0,419,4.0,9.0,7,18
1008,113,23,5000.0,2000.0,5000.0,2000.0,429,5.0,46.0,7,20
1008,411,12,0.0,0.0,0.0,0.0,965,4.0,3.0,7,22
1008,143,LAP,0.0,0.0,0.0,0.0,961,12.0,34.0,7,21
1008,151,13,0.0,0.0,1500000.0,100000.0,429,2.0,8.0,7,9
1008,151,24,0.0,0.0,0.0,0.0,961,9.0,12.0,7,12
1008,154,10,0.0,0.0,0.0,0.0,962,5.0,10.0,7,13
1008,143,13,0.0,0.0,0.0,0.0,519,5.0,25.0,7,15
1008,154,16,1000.0,0.0,1000.0,0.0,419,5.0,10.0,7,15
1008,561,29,0.0,0.0,0.0,0.0,419,0.0,1.0,7,18
1008,154,10,0.0,0.0,0.0,0.0,960,5.0,7.0,7,18
1008,412,7,0.0,0.0,0.0,0.0,419,4.0,26.0,7,20
1008,412,12,0.0,0.0,0.0,0.0,419,4.0,16.0,7,13
1008,444,10,0.0,0.0,0.0,0.0,419,4.0,8.0,7,15
1008,131,8,30000.0,0.0,30000.0,0.0,961,26.0,43.0,7,15
1008,151,13,0.0,0.0,0.0,0.0,961,9.0,4.0,7,16
1008,118,22,0.0,0.0,2000000.0,300000.0,429,2.0,15.0,7,18
1008,142,32,0.0,0.0,0.0,0.0,965,5.0,5.0,7,20
1008,142,32,0.0,0.0,0.0,0.0,931,5.0,83.0,7,21
1008,151,10,0.0,0.0,0.0,0.0,807,6.0,15.0,7,23
1008,142,32,0.0,0.0,0.0,0.0,960,7.0,91.0,7,23
1008,412,24,0.0,0.0,0.0,0.0,962,5.0,14.0,7,17
1008,131,35,10000.0,2500.0,10000.0,2500.0,961,6.0,27.0,7,1
1008,142,34,0.0,0.0,0.0,0.0,963,3.0,18.0,7,11
1008,151,LAP,0.0,0.0,0.0,0.0,965,5.0,11.0,7,16
1008,131,25,0.0,0.0,6000.0,0.0,419,3.0,29.0,7,9
1008,424,29,0.0,0.0,0.0,0.0,429,5.0,58.0,7,13
1008,151,16,0.0,0.0,0.0,0.0,963,4.0,11.0,7,16
1008,151,9,0.0,0.0,0.0,0.0,963,5.0,25.0,7,21
1008,118,10,0.0,0.0,0.0,0.0,960,4.0,9.0,7,22
1008,411,8,0.0,0.0,0.0,0.0,961,10.0,16.0,7,11
1008,444,22,0.0,0.0,0.0,0.0,962,1.0,5.0,7,15
1008,413,LAP,0.0,0.0,0.0,0.0,500,6.0,9.0,7,17
1008,131,9,0.0,0.0,0.0,0.0,963,4.0,29.0,7,10
1008,151,22,0.0,0.0,0.0,0.0,429,4.0,8.0,7,5
1008,151,9,0.0,0.0,0.0,0.0,965,3.0,4.0,7,10
1008,143,6,0.0,0.0,0.0,0.0,600,7.0,23.0,7,13
1008,444,33,0.0,0.0,0.0,0.0,960,3.0,7.0,7,20
1008,151,9,0.0,0.0,0.0,0.0,900,5.0,27.0,7,6
1008,131,27,20000.0,0.0,20000.0,0.0,963,3.0,35.0,7,9
1008,154,16,0.0,0.0,0.0,0.0,429,5.0,2.0,7,10
1008,152,16,0.0,0.0,0.0,0.0,429,0.0,22.0,7,10
1008,113,9,0.0,0.0,0.0,0.0,419,3.0,28.0,7,13
1008,118,6,600.0,600.0,600.0,600.0,419,5.0,16.0,7,13
1008,112,16,0.0,0.0,0.0,0.0,599,4.0,47.0,7,13
1008,131,16,0.0,0.0,0.0,0.0,961,19.0,0.0,7,15
1008,445,31,0.0,0.0,0.0,0.0,960,8.0,6.0,7,5
1008,412,24,0.0,0.0,0.0,0.0,419,6.0,4.0,7,8
1008,151,10,0.0,0.0,0.0,0.0,919,5.0,80.0,7,9
1008,151,24,0.0,0.0,0.0,0.0,936,5.0,1.0,7,22
1008,444,9,0.0,0.0,0.0,0.0,962,5.0,3.0,7,10
1008,444,16,0.0,0.0,0.0,0.0,962,7.0,4.0,7,11
1008,444,23,0.0,0.0,0.0,0.0,419,3.0,3.0,7,13
1008,118,13,0.0,0.0,0.0,0.0,963,6.0,11.0,7,16
1008,151,27,0.0,0.0,0.0,0.0,963,6.0,6.0,7,6
1008,118,11,0.0,0.0,0.0,0.0,951,6.0,17.0,7,9
1008,151,7,0.0,0.0,0.0,0.0,931,10.0,18.0,7,14
1008,151,10,0.0,0.0,0.0,0.0,951,10.0,145.0,7,14
1008,444,28,0.0,0.0,0.0,0.0,962,5.0,4.0,7,17
1008,131,8,4500.0,100.0,4500.0,100.0,931,14.0,40.0,7,22
1008,132,31,0.0,0.0,0.0,0.0,965,5.0,30.0,7,23
1008,118,10,0.0,0.0,0.0,0.0,960,6.0,6.0,7,8
1008,412,22,0.0,0.0,0.0,0.0,429,5.0,24.0,7,12
1008,151,33,0.0,0.0,0.0,0.0,922,4.0,15.0,7,15
1008,142,13,0.0,0.0,0.0,0.0,961,6.0,7.0,7,16
1008,162,30,0.0,0.0,0.0,0.0,419,5.0,5.0,7,17
1008,111,9,100000.0,5000.0,1160000.0,10000.0,419,4.0,177.0,7,16
1008,412,23,0.0,0.0,0.0,0.0,419,5.0,29.0,7,8
1008,162,11,0.0,500.0,500.0,500.0,419,4.0,10.0,7,9
1008,423,20,0.0,0.0,0.0,0.0,600,5.0,141.0,7,10
1008,118,13,0.0,0.0,0.0,0.0,962,5.0,4.0,7,23
1008,142,6,0.0,0.0,0.0,0.0,419,8.0,35.0,7,9
1008,151,16,0.0,0.0,0.0,0.0,965,5.0,7.0,7,13
1008,143,24,0.0,0.0,0.0,0.0,124,4.0,18.0,7,22
1008,151,33,0.0,0.0,0.0,0.0,921,4.0,32.0,7,23
1008,131,8,2000.0,500.0,2000.0,500.0,961,12.0,61.0,7,14
1008,444,23,0.0,0.0,0.0,0.0,962,4.0,63.0,7,20
1008,118,9,0.0,0.0,0.0,0.0,419,6.0,24.0,7,15
1008,421,19,0.0,0.0,0.0,0.0,629,4.0,32.0,7,17
1008,143,13,0.0,0.0,0.0,0.0,951,5.0,77.0,7,18
1008,118,11,0.0,0.0,0.0,0.0,419,3.0,7.0,7,22
1008,451,25,0.0,0.0,0.0,0.0,961,11.0,13.0,7,6
1008,151,28,0.0,20.0,0.0,20.0,963,4.0,2.0,7,11
1008,111,22,30000.0,40000.0,25000000.0,5000000.0,700,5.0,114.0,7,12
1008,143,7,0.0,0.0,0.0,0.0,960,8.0,31.0,7,12
1008,444,22,0.0,0.0,0.0,0.0,311,9.0,9.0,7,16
1008,131,25,2500.0,250.0,2500.0,250.0,429,10.0,27.0,7,3
1008,143,10,0.0,0.0,0.0,0.0,951,13.0,100.0,7,5
1008,444,6,0.0,0.0,0.0,0.0,419,6.0,4.0,7,12
1008,131,LAP,15000.0,5000.0,15000.0,5000.0,961,15.0,44.0,7,16
1008,162,33,0.0,0.0,0.0,0.0,429,4.0,22.0,7,19
1008,131,8,31000.0,1000.0,31000.0,1000.0,960,13.0,33.0,7,21
1008,412,12,0.0,0.0,0.0,0.0,429,4.0,8.0,7,13
1008,151,33,0.0,0.0,0.0,0.0,419,4.0,6.0,7,14
1008,113,28,0.0,0.0,0.0,0.0,419,2.0,5.0,7,15
1008,143,10,5000.0,0.0,100000.0,0.0,951,8.0,90.0,8,8
1008,143,22,0.0,0.0,0.0,0.0,931,4.0,42.0,8,12
1008,143,14,0.0,0.0,0.0,0.0,963,2.0,78.0,8,15
1008,162,24,0.0,0.0,0.0,0.0,962,5.0,11.0,8,18
1008,162,24,0.0,0.0,0.0,0.0,419,6.0,0.0,8,19
1008,142,10,1000.0,0.0,10000.0,0.0,965,6.0,48.0,8,19
1008,444,24,0.0,0.0,0.0,0.0,960,6.0,134.0,8,18
1008,151,22,0.0,0.0,0.0,0.0,965,4.0,6.0,8,6
1008,445,6,0.0,3000.0,1428700.0,3000.0,419,9.0,21.0,8,11
1008,444,13,0.0,0.0,0.0,0.0,419,3.0,7.0,8,12
1008,151,34,0.0,0.0,0.0,0.0,961,9.0,5.0,8,14
1008,412,23,0.0,0.0,0.0,0.0,580,4.0,3.0,8,17
1008,111,16,0.0,0.0,500000.0,100000.0,419,4.0,8.0,8,17
1008,111,26,150000.0,75000.0,1230000.0,125000.0,419,1.0,241.0,8,15
1008,131,10,0.0,0.0,0.0,0.0,965,11.0,22.0,8,5
1008,424,24,0.0,0.0,0.0,0.0,429,6.0,13.0,8,8
1008,118,32,0.0,0.0,0.0,0.0,963,5.0,7.0,8,12
1008,151,32,0.0,0.0,0.0,0.0,960,5.0,3.0,8,13
1008,138,31,450000.0,0.0,450000.0,0.0,700,6.0,51.0,8,14
1008,151,22,0.0,0.0,0.0,0.0,962,4.0,0.0,8,16
1008,111,28,0.0,0.0,800000.0,200.0,429,5.0,16.0,8,23
1008,161,31,0.0,5000.0,5000.0,5000.0,500,6.0,60.0,8,5
1008,444,8,0.0,0.0,0.0,0.0,419,7.0,12.0,8,12
1008,444,14,0.0,0.0,0.0,0.0,419,11.0,40.0,8,13
1008,111,16,0.0,0.0,0.0,0.0,211,6.0,12.0,8,4
1008,445,31,0.0,0.0,0.0,0.0,700,5.0,42.0,8,5
1008,412,29,0.0,0.0,0.0,0.0,419,6.0,24.0,8,11
1008,112,6,2000.0,0.0,2000.0,0.0,961,8.0,179.0,8,8
1008,111,24,15000.0,15000.0,700000.0,15000.0,429,3.0,72.0,8,13
1008,151,33,0.0,0.0,0.0,0.0,931,6.0,6.0,8,7
1008,111,18,0.0,0.0,750.0,0.0,931,4.0,85.0,8,13
1008,412,13,0.0,0.0,0.0,0.0,419,4.0,10.0,8,11
1008,444,6,0.0,0.0,0.0,0.0,419,8.0,6.0,8,15
1008,412,28,0.0,0.0,0.0,0.0,963,4.0,30.0,8,15
1008,143,8,0.0,0.0,0.0,0.0,961,17.0,30.0,8,18
1008,151,23,0.0,5.0,5.0,5.0,419,4.0,7.0,8,4
1008,151,10,1000.0,1000.0,100000.0,1000000.0,965,6.0,16.0,8,9
1008,561,33,0.0,0.0,0.0,0.0,962,5.0,10.0,8,18
1008,442,25,0.0,0.0,0.0,0.0,419,3.0,21.0,8,12
1008,151,10,0.0,0.0,0.0,0.0,951,5.0,19.0,8,15
1008,151,32,0.0,0.0,0.0,0.0,960,5.0,4.0,8,17
1008,143,10,0.0,0.0,0.0,0.0,963,3.0,32.0,8,16
1008,445,9,0.0,0.0,0.0,0.0,419,10.0,10.0,8,21
1008,142,8,0.0,0.0,0.0,0.0,931,13.0,11.0,8,21
1008,111,9,80000.0,30000.0,80000.0,30000.0,419,3.0,217.0,8,19
1008,142,OKL,0.0,0.0,0.0,0.0,936,5.0,20.0,8,9
1008,142,18,0.0,0.0,0.0,0.0,962,0.0,741.0,8,0
1008,445,20,0.0,0.0,0.0,0.0,629,3.0,72.0,8,12
1008,118,9,0.0,0.0,0.0,0.0,419,4.0,10.0,8,14
1008,118,33,0.0,0.0,0.0,0.0,961,5.0,2.0,8,17
1008,131,16,31000.0,5000.0,31000.0,5000.0,961,6.0,21.0,8,19
1008,412,33,0.0,0.0,0.0,0.0,419,5.0,9.0,8,4
1008,132,8,30000.0,0.0,30000.0,0.0,961,5.0,39.0,8,5
1008,444,28,0.0,0.0,0.0,0.0,962,4.0,4.0,8,10
1008,111,22,75000.0,10000.0,820000.0,10000.0,419,5.0,42.0,8,11
1008,422,13,0.0,0.0,0.0,0.0,965,6.0,21.0,8,13
1008,143,33,0.0,0.0,0.0,0.0,946,7.0,44.0,8,12
1008,444,11,0.0,0.0,0.0,0.0,963,5.0,5.0,8,14
1008,111,9,0.0,1.0,1.0,1.0,429,3.0,116.0,8,11
1008,113,29,0.0,0.0,0.0,0.0,429,2.0,4.0,8,13
1008,444,12,0.0,0.0,0.0,0.0,962,8.0,2.0,8,16
1008,118,11,0.0,0.0,0.0,0.0,419,10.0,11.0,8,16
1008,142,6,5000.0,5000.0,5000.0,5000.0,419,3.0,196.0,8,13
1008,151,22,500.0,0.0,900000.0,0.0,419,4.0,14.0,8,17
1008,151,22,0.0,0.0,0.0,0.0,161,4.0,2.0,8,22
1008,411,LAP,0.0,0.0,0.0,0.0,571,16.0,5.0,8,22
1008,132,10,130000.0,100000.0,130000.0,100000.0,880,5.0,75.0,8,22
1008,111,12,0.0,0.0,0.0,0.0,571,4.0,8.0,8,0
1008,444,13,0.0,0.0,0.0,0.0,419,4.0,62.0,8,1
1008,444,26,0.0,0.0,0.0,0.0,419,4.0,31.0,8,16
1008,154,33,0.0,0.0,0.0,0.0,960,10.0,5.0,8,18
1008,154,13,0.0,0.0,0.0,0.0,581,4.0,9.0,8,22
1008,151,9,0.0,0.0,0.0,0.0,962,5.0,19.0,8,23
1008,151,35,0.0,0.0,0.0,0.0,962,10.0,0.0,8,23
1008,151,35,0.0,0.0,0.0,0.0,962,11.0,0.0,8,23
1008,154,LAP,0.0,0.0,0.0,0.0,511,9.0,19.0,8,3
1008,111,12,0.0,0.0,0.0,0.0,341,5.0,39.0,8,9
1008,131,13,20000.0,500.0,20000.0,500.0,429,3.0,3.0,8,11
1008,444,10,0.0,0.0,0.0,0.0,963,7.0,3.0,8,13
1008,421,32,0.0,0.0,0.0,0.0,960,0.0,51.0,8,13
1008,111,12,0.0,0.0,0.0,0.0,500,4.0,32.0,8,16
1008,151,10,0.0,0.0,0.0,0.0,931,8.0,22.0,8,20
1008,412,27,0.0,0.0,0.0,0.0,429,5.0,4.0,8,8
1008,118,9,0.0,0.0,0.0,0.0,963,2.0,7.0,8,13
1008,152,10,0.0,0.0,0.0,0.0,919,1.0,46.0,8,13
1008,143,31,0.0,0.0,0.0,0.0,419,5.0,23.0,8,18
1008,111,32,100.0,0.0,600000.0,50000.0,429,5.0,22.0,8,15
1008,111,16,0.0,0.0,0.0,0.0,429,5.0,18.0,8,23
1008,118,13,0.0,0.0,0.0,0.0,519,3.0,20.0,8,4
1008,413,23,0.0,0.0,0.0,0.0,960,3.0,4.0,8,7
1008,412,31,0.0,0.0,0.0,0.0,429,6.0,11.0,8,7
1008,444,23,0.0,0.0,0.0,0.0,960,3.0,3.0,8,11
1008,111,17,0.0,0.0,0.0,0.0,579,6.0,65.0,8,3
1008,444,9,0.0,0.0,0.0,0.0,962,8.0,3.0,8,11
1008,142,8,0.0,0.0,0.0,0.0,946,18.0,14.0,8,13
