Moran_I,p_value,FDID
-0.08500979605517213,0.4923798210755316,21105
0.021871492375374117,0.7539725143032627,22025
-0.06936718663207492,0.5890706551220127,23010
-0.07749920768650374,0.5377210420490615,23011
-0.005357894111968849,0.9532233357012041,23030
-0.04282175299974032,0.770412110676205,23040
-0.13310236013166082,0.2557634848611061,23045
-0.04626616042574858,0.7458924293008659,23070
0.11301515820335879,0.2435717521222318,23080
-0.10024288374584257,0.4070802568193501,23090
-0.002031757056418536,0.9284641470086378,24005
-0.08731871238282782,0.4755859880800146,24030
-0.1296557286838497,0.26949932127307474,24035
-0.050091719406564074,0.7189589489865501,25010
-0.08992611251978865,0.4638490961307046,25040
-0.14846625687099985,0.20047504771436786,25055
0.223093331698584,0.028095630183253863,26015
0.009468618544539986,0.843538162505399,26030
0.17393184875852707,0.08256112586966823,26042
-0.0038938102239831182,0.9423179619111937,26045
0.0964973894130418,0.3117424358251547,27005
0.22608286655563617,0.026154011250789515,27010
-0.1986173360913089,0.08022350498104427,27024
-0.020717531155706476,0.9322307678347791,27025
0.04114269954257704,0.6215190932849541,27035
-0.03384692906628256,0.8353293955109249,27045
-0.08917893396911475,0.46812496002929116,27050
0.11195332325757357,0.24761099770086503,27055
-0.01842136458195568,0.9493232930090004,27060
-0.05778401116923848,0.6658750225375278,27070
0.01739616476951045,0.7859784865309041,27075
-0.0005481781096691409,0.9174415028293058,27080
-0.08851812141762688,0.4719246986566412,27095
-0.1194742199546026,0.3129925765585021,27115
-0.018089591131595938,0.9517951107190074,27155
-0.11001628266882917,0.35732287072217095,27900
-0.003043694801975646,0.935990619947399,27910
-0.0438609149721995,0.7629891655619236,28020
-0.06388492412657605,0.6249170066483132,28025
0.16577471582060482,0.09697466288482524,29005
0.05757454194161087,0.5173552234518923,29015
0.2466434757085229,0.01568028852444625,29030
-0.16211745688610654,0.15915655918036087,29042
-0.04254582781890793,0.7723866702435905,29050
0.043849112670002556,0.6037478031907797,29060
0.06665115576543572,0.4639583720829723,29065
0.061992979226704756,0.4909714319109224,30005
-0.005017620359738782,0.950687916351427,30020
-0.0583124070097013,0.6622856909011732,30025
-0.05298394177523643,0.6988236960385472,30030
0.12455024133391839,0.20265535112886024,30040
-0.05603049546300546,0.6778410154478594,30045
-0.06437354757879629,0.6216840824013798,30060
-0.019130827071126472,0.9440392381446553,30065
0.015413288183061952,0.8002794120252883,31010
0.025548529090319808,0.7274426095071919,31030
0.08876187060541403,0.3476267710381499,31040
0.021234027478921197,0.7585071310032292,31044
-0.02302559663569807,0.9150811191886419,31050
0.0524466379257058,0.5488707019091987,31060
-0.06203539745432869,0.637219271670906,31065
0.15104311059794884,0.1280395599327025,31070
-0.023155935266970237,0.9141137648136517,31075
-0.08082310378517465,0.5173991233743422,31080
-0.05982714719566221,0.6520393842082638,31085
-0.03791102406410752,0.8057648587426034,31115
-0.056766295916423556,0.6728097951865166,31125
-0.1063192708706766,0.375676438410681,31150
0.0503955418431368,0.5617365596838333,31555
0.0700056564975849,0.44502955795738885,32005
-0.04216290013361994,0.7751293960620247,32010
-0.05708554852306118,0.6706313569184799,32020
-0.033987868035913964,0.8342999621726715,32030
-0.044395368139808745,0.7591798798632963,32032
0.0951440384171304,0.3178376720183447,32042
-0.011128466158844849,0.9962718594616328,32043
0.17230926497602966,0.08528074380200393,32050
-0.011961776804316471,0.9975077805030436,32065
-0.1091629305579629,0.36150835409952475,32070
0.06978609876700047,0.44625485481559213,32075
0.011691319531349607,0.8273010146193549,33016
0.053872186290898745,0.5400151945350211,33017
-0.12348808545136362,0.2953235328346051,33018
-0.009581828750014423,0.984727661740979,33025
-0.06839594559332815,0.5953517307023245,33040
0.17401057960867997,0.08243097419314958,33045
-0.05971974571827614,0.6527637600755294,33055
-0.05312400614372672,0.6978538100804579,33065
-0.06853842412817529,0.5944284026104695,33075
-0.01812034327212775,0.9515659776244855,33088
0.4692551004483812,6.829648497009802e-06,33090
0.41098637578867603,7.692195440850675e-05,34015
0.052485743196050726,0.54862682712828,34020
0.05187570001311144,0.5524373603920636,34035
0.11932134122577893,0.22053623733653038,34055
0.5765126881394531,3.746891545249989e-08,34080
-0.11885031520906038,0.3158002592607534,34090
-0.05866340702250064,0.6599056633169826,34125
-0.04905854082702541,0.7262002242934835,34130
-0.06179991617824087,0.6359865319874625,35555
0.025474336912703083,0.7285069930504899,36010
0.006518231808505988,0.8651931605073651,36035
-0.055743243243243236,0.6798090958126214,36042
0.7615187216682023,4.716770819437954e-13,36058
0.34688017791107556,0.0007963978764281556,36065
0.09107646328669655,0.3366241554593482,36107
0.038380648049765605,0.6398861347780807,36125
-0.038685872639184,0.8001581710293089,36140
-0.06348996594011325,0.6275354935708735,36150
-0.05789016603011644,0.6651533069086962,36170
0.17045258079110404,0.08848111597602869,36180
0.0015973719298682841,0.9015291505933273,36190
0.2620876139160686,0.010444293319299634,36193
-0.05177270769936267,0.7072313415595742,36194
-0.11843909097832898,0.317659856727747,36220
