FDID,RESPONSE_TIME,FIRE_CLEARANCE_TIME,DEPT_STA,INC_TYPE,SHIFT,PROP_VAL
7090,6.0,4.0,14,154,C,0.0
7090,9.0,2.0,13,113,B,0.0
7090,8.0,23.0,14,113,B,0.0
7090,8.0,17.0,13,160,C,0.0
7090,3.0,204.0,14,111,A,50000.0
7090,9.0,38.0,14,150,B,
7090,7.0,9.0,14,100,B,
7090,7.0,110.0,13,100,B,500.0
7090,7.0,87.0,15,112,A,
7090,35.0,0.0,14,150,A,0.0
7090,8.0,16.0,14,150,A,0.0
7090,5.0,2.0,14,150,A,0.0
7090,5.0,25.0,15,100,B,100.0
7090,11.0,42.0,15,131,B,4000.0
7090,7.0,19.0,13,100,C,0.0
7090,9.0,21.0,14,100,C,0.0
7090,10.0,19.0,14,100,C,0.0
7090,8.0,16.0,14,154,C,0.0
7090,8.0,7.0,13,150,A,0.0
7090,7.0,3.0,11,131,A,0.0
7090,8.0,11.0,14,150,B,0.0
7090,7.0,6.0,14,154,B,0.0
7090,11.0,22.0,15,150,B,0.0
7090,8.0,44.0,14,100,C,500.0
7090,12.0,5.0,15,150,C,0.0
7090,6.0,5.0,14,151,A,
7090,30.0,48.0,12,150,B,0.0
7090,2.0,53.0,15,100,B,500.0
7090,12.0,8.0,14,133,B,0.0
7090,9.0,10.0,17,162,C,500.0
7090,11.0,4.0,13,151,C,0.0
7090,1.0,45.0,16,111,C,2000.0
7090,6.0,22.0,16,140,A,0.0
7090,11.0,28.0,13,131,A,
7090,10.0,30.0,15,113,B,500.0
7090,4.0,7.0,15,154,C,0.0
7090,3.0,7.0,14,140,C,0.0
7090,3.0,65.0,15,111,A,4000.0
7090,4.0,17.0,13,131,A,
7090,15.0,23.0,16,131,B,0.0
7090,37.0,32.0,15,161,C,0.0
7090,15.0,38.0,15,131,C,26000.0
7090,9.0,36.0,14,162,B,2000.0
7090,6.0,54.0,13,111,A,1181600.0
7090,11.0,11.0,14,150,A,0.0
7090,24.0,630.0,14,100,A,
7090,3.0,24.0,15,100,B,1000.0
7090,11.0,6.0,14,131,C,0.0
7090,9.0,11.0,12,130,A,1200.0
7090,19.0,0.0,11,136,A,0.0
7090,6.0,14.0,11,131,A,0.0
7090,4.0,45.0,14,118,A,0.0
7090,3.0,76.0,13,114,A,
7090,7.0,15.0,14,100,C,0.0
7090,8.0,17.0,14,162,B,
7090,16.0,0.0,13,150,B,0.0
7090,13.0,67.0,14,132,C,5000.0
7090,17.0,24.0,14,150,A,0.0
7090,16.0,18.0,14,150,A,0.0
7090,33.0,150.0,11,131,B,80000.0
7090,8.0,11.0,13,142,B,0.0
7090,5.0,15.0,14,100,C,0.0
7090,11.0,72.0,14,140,C,0.0
7090,7.0,23.0,11,100,A,0.0
7090,14.0,4.0,13,132,B,
7090,11.0,221.0,13,151,C,0.0
7090,7.0,3.0,15,140,A,0.0
7090,13.0,571.0,13,131,A,
7090,3.0,39.0,13,111,B,0.0
7090,5.0,8.0,14,151,B,0.0
7090,8.0,4.0,15,150,C,0.0
7090,6.0,197.0,14,142,C,0.0
7090,4.0,327.0,12,142,A,500.0
7090,13.0,20.0,16,162,B,500.0
7090,7.0,2.0,15,140,A,0.0
7090,14.0,85.0,14,131,B,0.0
7090,10.0,1.0,15,150,C,0.0
7090,14.0,20.0,14,100,B,
7090,48.0,203.0,16,143,C,
7090,12.0,86.0,12,143,A,0.0
7090,12.0,115.0,19,131,A,15000.0
7090,11.0,73.0,11,150,B,0.0
7090,8.0,23.0,15,150,B,0.0
7090,13.0,222.0,14,152,C,0.0
7090,5.0,153.0,16,100,A,
7090,13.0,8.0,14,150,A,0.0
7090,7.0,142.0,16,143,A,
7090,14.0,11.0,13,100,B,
7090,3.0,94.0,15,142,B,25000.0
7090,10.0,31.0,17,140,C,0.0
7090,4.0,753.0,11,141,C,
7090,22.0,2.0,15,150,C,0.0
7090,32.0,65.0,15,142,C,0.0
7090,8.0,6.0,13,100,B,
7090,2.0,111.0,11,162,B,
7090,18.0,0.0,14,150,B,0.0
7090,5.0,286.0,14,111,B,
7090,7.0,2.0,11,150,C,0.0
7090,12.0,5.0,14,150,A,100.0
7090,8.0,13.0,15,100,A,0.0
7090,3.0,81.0,12,140,C,
7090,17.0,12.0,11,131,B,1000.0
7090,9.0,130.0,13,112,C,0.0
7090,8.0,74.0,12,131,A,1500.0
7090,8.0,31.0,14,150,A,0.0
7090,12.0,7.0,13,142,B,0.0
7090,6.0,166.0,12,111,B,
7090,7.0,31.0,13,150,B,
7090,7.0,26.0,15,151,B,0.0
7090,7.0,6.0,15,154,C,0.0
7090,9.0,12.0,14,150,C,0.0
7090,15.0,7.0,15,100,A,
7090,8.0,8.0,14,151,B,0.0
7090,6.0,5.0,13,160,C,0.0
7090,6.0,15.0,17,150,A,
7090,6.0,14.0,17,140,A,
7090,8.0,21.0,13,143,A,0.0
7090,6.0,9.0,15,150,B,10.0
7090,10.0,2.0,15,150,C,0.0
7090,8.0,8.0,14,140,C,
7090,2.0,2.0,15,100,B,
7090,5.0,9.0,14,160,B,0.0
7090,4.0,2365.0,12,143,C,0.0
7090,5.0,2.0,14,150,A,0.0
7090,5.0,2.0,14,150,A,0.0
7090,6.0,1.0,14,150,A,0.0
7090,7.0,5.0,14,150,A,0.0
7090,14.0,87.0,11,142,A,
7090,6.0,81.0,12,111,C,500.0
7090,1.0,82.0,11,111,C,
7090,11.0,11.0,14,150,B,0.0
7090,8.0,3.0,14,150,B,0.0
7090,7.0,10.0,14,150,C,0.0
7090,6.0,4.0,14,150,C,0.0
7090,10.0,62.0,16,142,C,0.0
7090,8.0,16.0,15,160,A,200.0
7090,3.0,32.0,13,100,B,
7090,8.0,14.0,12,150,C,0.0
7090,7.0,2.0,14,150,C,0.0
7090,8.0,28.0,14,113,C,0.0
7090,11.0,199.0,14,113,C,0.0
7090,6.0,24.0,11,111,C,
7090,6.0,6.0,14,161,A,200.0
7090,4.0,178.0,14,111,A,20000.0
7090,8.0,21.0,15,150,A,0.0
7090,4.0,116.0,14,111,B,20000.0
7090,7.0,11.0,16,131,B,
7090,8.0,5.0,14,150,C,0.0
7090,8.0,25.0,13,131,B,
7090,12.0,33.0,15,151,C,0.0
7090,9.0,6.0,14,150,A,0.0
7090,9.0,16.0,15,140,A,0.0
7090,7.0,11.0,12,150,A,0.0
7090,9.0,36.0,12,150,A,0.0
7090,4.0,80.0,15,111,C,2000.0
7090,8.0,31.0,11,100,B,0.0
7090,6.0,26.0,15,100,B,0.0
7090,4.0,101.0,13,150,B,
7090,9.0,183.0,15,111,B,
7090,9.0,28.0,14,140,C,0.0
7090,6.0,34.0,12,150,A,0.0
7090,5.0,6.0,14,150,A,0.0
7090,8.0,20.0,11,150,B,0.0
7090,6.0,141.0,14,111,A,60000.0
7090,9.0,20.0,11,100,A,0.0
7090,8.0,3.0,14,100,B,0.0
7090,17.0,50.0,13,143,B,
7090,9.0,32.0,17,150,C,0.0
7090,8.0,164.0,15,111,C,5000.0
7090,20.0,25.0,14,117,C,50000.0
7090,9.0,29.0,11,131,A,
7090,6.0,183.0,16,111,B,100000.0
7090,7.0,5.0,12,151,B,0.0
7090,10.0,62.0,15,116,C,0.0
7090,6.0,130.0,13,114,A,5000.0
7090,3.0,51.0,13,111,C,2500.0
7090,11.0,2.0,16,150,C,0.0
7090,7.0,49.0,14,134,C,0.0
7090,8.0,7.0,13,150,A,0.0
7090,8.0,3.0,14,150,A,0.0
7090,10.0,3.0,15,154,C,0.0
7090,7.0,7.0,15,131,A,0.0
7090,5.0,5.0,14,100,B,0.0
7090,10.0,22.0,13,151,A,0.0
7090,14.0,156.0,17,111,B,
7090,10.0,6.0,15,150,C,
7090,7.0,0.0,14,150,A,0.0
7090,14.0,60.0,13,131,B,
7090,12.0,16.0,11,151,C,
9012,20.0,271.0,19,111,A,
9012,7.0,30.0,17,142,C,
9012,16.0,116.0,19,141,B,
9012,13.0,213.0,17,142,A,
9012,2.0,17.0,17,160,B,
9012,7.0,157.0,19,142,C,
9012,16.0,105.0,17,142,B,
9012,34.0,99.0,19,141,C,
9012,17.0,292.0,17,141,A,
9012,24.0,54.0,19,143,C,
9012,21.0,92.0,17,141,B,
9012,29.0,11.0,17,131,C,
9012,23.0,928.0,17,141,B,
9012,6.0,14.0,17,142,A,
9012,7.0,51.0,17,142,C,
9012,19.0,250.0,19,141,B,
9012,32.0,77.0,19,111,C,
9012,84.0,130.0,17,141,C,
9012,23.0,113.0,17,142,B,
9012,13.0,40.0,17,140,C,
9012,22.0,192.0,19,111,B,
